Households,Longitude,Latitude,ViableDemand,Year of Electrification,NPV_grid,NPV_temp
187.58620689655174,-16.459794852,15.7204712806,39.0625,5,187057.4059280157,65956.92716789317
198.44827586206898,-16.5240428346,15.723018035,39.0625,5,197533.08715806744,69776.12423735758
140.86206896551724,-16.4243102193,15.710180294,39.0625,5,145267.4081468269,49528.31755162566
350.17241379310343,-16.4531526672,15.7308213455,39.0625,5,372871.53018762125,123123.63885844761
73.10344827586208,-16.4080918389,15.7050334421,48.828125,6,83007.34854119513,43337.52755185335
51.896551724137936,-16.502803344,15.7194443112,48.828125,6,64726.254853254206,30765.556115820422
93.10344827586208,-16.4790147363,15.7282309584,48.828125,6,116363.71114265322,55194.02093868116
51.896551724137936,-16.3715314843,15.6742995646,48.828125,6,70300.06522893374,30765.556115820422
115.3448275862069,-16.3858526982,15.6766900108,48.828125,6,150566.2679252136,68379.25927403277
51.896551724137936,-16.4967119625,15.7164780284,48.828125,7,73705.53943970104,32973.36918240426
93.10344827586208,-16.4686014947,15.7352632848,48.828125,7,133372.1495647541,59154.88158969536
51.896551724137936,-16.4492465675,15.7084658323,48.828125,7,80099.7590136159,32973.36918240426
51.896551724137936,-16.4502170868,15.7060680361,48.828125,7,66667.96416288457,32973.36918240426
51.896551724137936,-16.3845206448,15.7040953473,48.828125,7,85245.16009631561,32973.36918240426
92.75862068965517,-16.5355146586,15.7039230615,48.828125,7,157005.07865378715,58935.789435659455
51.896551724137936,-16.4680162068,15.7343554814,61.03515625,8,65890.35097766119,40713.46161321268
40.17241379310345,-16.4715416795,15.7379548874,61.03515625,8,59739.221822330175,31515.73606604171
51.896551724137936,-16.4485238416,15.7002534149,61.03515625,8,78044.22147899149,40713.46161321268
51.896551724137936,-16.4482237219,15.6970619073,61.03515625,8,71115.25012932725,40713.46161321268
18.96551724137931,-16.5240730972,15.7270829964,61.03515625,8,36962.77403802697,14878.673679247157
51.896551724137936,-16.3736585441,15.7002182572,61.03515625,8,90545.67734580174,40713.46161321268
51.896551724137936,-16.3677754624,15.6995569472,61.03515625,8,77221.05999712917,40713.46161321268
51.896551724137936,-16.5180719037,15.7069454032,61.03515625,8,95135.0849735831,40713.46161321268
51.896551724137936,-16.4335391924,15.6925578733,61.03515625,8,99554.14401628633,40713.46161321268
124.48275862068967,-16.5728052752,15.6915622945,61.03515625,8,236019.17324092353,97658.20360378588
51.896551724137936,-16.4583518928,15.7500020513,61.03515625,8,106067.28186098949,40713.46161321268
10.517241379310345,-16.3808530975,15.7038300881,61.03515625,9,20852.48237374473,8705.022657269641
51.896551724137936,-16.5619719209,15.7082333268,61.03515625,9,97154.42570238313,42954.29212849446
42.758620689655174,-16.4430812866,15.7513916536,61.03515625,9,92302.65037196335,35390.9117869323
51.03448275862069,-16.4286317959,15.7468905734,61.03515625,9,101637.44821664442,42240.76568117727
51.896551724137936,-16.4197805503,15.7359338025,61.03515625,9,100842.10412950093,42954.29212849446
51.896551724137936,-16.4199572101,15.7299146776,61.03515625,9,81632.30983077077,42954.29212849446
35.17241379310345,-16.4455245849,15.7641855282,61.03515625,9,79009.32065990684,29111.879050541087
50.689655172413794,-16.4035143319,15.6669161853,61.03515625,9,113448.77788129449,41955.355102250396
62.758620689655174,-16.4198243353,15.6701694864,61.03515625,9,118837.24798608181,51944.72536469097
51.896551724137936,-16.3861309094,15.6555590735,61.03515625,9,111397.09247952735,42954.29212849446
51.896551724137936,-16.387850462,15.6543524771,61.03515625,9,71919.88737031852,42954.29212849446
15.689655172413794,-16.483351832,15.7152842902,61.03515625,9,39466.75875668179,12986.181341172742
51.896551724137936,-16.4666907788,15.7736088779,61.03515625,9,121780.5249018634,42954.29212849446
