Households,Longitude,Latitude,ViableDemand,Year of Electrification,NPV_grid,NPV_temp
187.58620689655174,-16.459794852,15.7204712806,61.03515625,9,225793.6851829863,107916.4074581628
198.44827586206898,-16.5240428346,15.723018035,61.03515625,9,238512.36787725048,114164.3604399656
140.86206896551724,-16.4243102193,15.710180294,61.03515625,9,174355.22078589944,81040.29225072518
73.10344827586208,-16.4080918389,15.7050334421,76.2939453125,10,101877.04339885543,49627.88373790507
350.17241379310343,-16.4531526672,15.7308213455,76.2939453125,10,476531.0267663195,237664.44148982083
51.896551724137936,-16.502803344,15.7194443112,76.2939453125,10,78121.95804230077,35235.53986516976
93.10344827586208,-16.4790147363,15.7282309584,76.2939453125,10,140395.86968778662,63201.15113007821
115.3448275862069,-16.3858526982,15.6766900108,76.2939453125,10,180339.4421227955,78295.5605575811
51.896551724137936,-16.3715314843,15.6742995646,76.2939453125,11,89368.06821009015,35235.53986516976
51.896551724137936,-16.4967119625,15.7164780284,76.2939453125,11,90450.16842600924,35235.53986516976
51.896551724137936,-16.4492465675,15.7084658323,76.2939453125,11,96844.38799992412,35235.53986516976
93.10344827586208,-16.4686014947,15.7352632848,76.2939453125,11,170136.56090461707,63201.15113007821
51.896551724137936,-16.3845206448,15.7040953473,76.2939453125,11,101989.78908262383,35235.53986516976
51.896551724137936,-16.4680162068,15.7343554814,76.2939453125,11,78204.48996471666,35235.53986516976
40.17241379310345,-16.4715416795,15.7379548874,76.2939453125,11,70634.77084445937,27278.796911137222
51.896551724137936,-16.4502170868,15.7060680361,95.367431640625,12,110222.26487187401,41946.73705406404
18.96551724137931,-16.5240730972,15.7270829964,95.367431640625,12,44611.898574961786,12262.98489665066
92.75862068965517,-16.5355146586,15.7039230615,95.367431640625,12,199607.17833760008,74962.55814103092
51.896551724137936,-16.5180719037,15.7069454032,95.367431640625,12,116065.87120646838,41946.73705406404
51.896551724137936,-16.3736585441,15.7002182572,95.367431640625,12,117912.93303246108,41946.73705406404
51.896551724137936,-16.4485238416,15.7002534149,95.367431640625,12,122381.31887974458,41946.73705406404
